20.01.2010 20:34:51; 127.0.0.1; grigor@griton.eu; 123123 123123; 4040-Linz
20.01.2010 20:36:00; 127.0.0.1; grigor@griton.eu; 123123 123123; 4040-Linz
20.01.2010 20:51:14; 127.0.0.1; grigor@griton.eu; TONOEFVME grigor; 404004 klinznztn-
20.01.2010 20:51:40; 127.0.0.1; grigor@griton.eu; TONOEFVME grigor; 404004 klinznztn-40400
20.01.2010 20:51:55; 127.0.0.1; grigor@griton.eu; TONOEFVME grigor; 404004 klinznztn-40400
20.01.2010 20:53:19; 127.0.0.1; grigor@griton.eu; TONOEFVME grigor; 404004 klinznztn-40400
20.01.2010 20:53:39; 127.0.0.1; grigor@griton.eu; TONOEFVME grigor; 4041-Linz
20.01.2010 20:53:42; 127.0.0.1; ;  ; -
20.01.2010 20:53:42; 127.0.0.1; ;  ; -
20.01.2010 21:08:14; 127.0.0.1; grigor@griton.eu; TONOEFVME grigor; 4041-Dornach
20.01.2010 21:08:15; 127.0.0.1; ;  ; -
20.01.2010 21:08:15; 127.0.0.1; ;  ; -
20.01.2010 21:43:50; 127.0.0.1; grigor@griton.eu; TONOEFVME grigor; 4041-Dornach
20.01.2010 21:43:50; 127.0.0.1; ;  ; -
20.01.2010 21:43:50; 127.0.0.1; ;  ; -
20.01.2010 21:50:59; 127.0.0.1; ; Grigor TONKOV; 4040-Linz
20.01.2010 21:55:13; 127.0.0.1; x; Grigor TONKOV; 4045-Linz
20.01.2010 21:55:34; 127.0.0.1; x; Grigor TONKOV; 4045-MAMA MIA
20.01.2010 21:56:52; 127.0.0.1; x; Grigor TONKOV; 4050-Traub
